Start of log file:
2023-08-02 01:52:50,885 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-02 16:02:41,278 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-02 16:03:12,086 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-02 16:03:20,256 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-06 19:09:11,996 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-06 19:09:49,411 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-06 19:14:46,449 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-06 19:16:05,472 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-06 19:17:44,303 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-06 19:21:06,496 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:05:16,592 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:06:52,803 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:07:32,420 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:09:43,402 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:15:15,593 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:17:51,558 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:55:10,345 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:55:54,643 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:56:48,806 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 02:58:25,210 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 03:07:03,852 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 03:07:39,036 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-07 03:10:40,838 - JBHT Hicks Bradley W.Officer+ Sell 500 $ 198.64 $ 99.32k 20.44k Common Stock 2023-07-25
2023-08-14 00:26:14,243 - SMG Hagedorn James - Chairman and CEO<br>- Director<br>- 10% Owner Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 00:50:12,717 - SMG Hagedorn James - Chairman and CEO<br>- Director<br>- 10% Owner Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 00:50:12,928 - BSVN Travis Thomas L - President & CEO<br>- Director Sell 13k $ 27.067 $ 351.87k 319.58k Common stock, par value $0.01 per share 2023-08-03
2023-08-14 16:02:15,939 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:03:41,259 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:04:44,386 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:06:40,078 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:07:21,316 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:08:48,977 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:09:11,512 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:09:29,815 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:22:39,310 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:23:43,552 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:24:18,416 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:27:06,850 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:28:13,399 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:30:41,617 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:30:52,228 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:31:06,720 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:31:30,536 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:35:32,703 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 16:55:22,948 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 17:07:16,200 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 17:08:25,806 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
2023-08-14 17:09:50,356 - SMG Hagedorn James {Chairman and CEO, Director, 10% Owner} Sell 6.45k $ 55.43 $ 357.58k 125.06k Common Shares 2023-08-07
